
=== Session started 2026-07-11T10:38:47.152252 (192.168.1.168:23) ===
[10:38:47.157] [dev] eDrum telnet console
[10:39:20.186] [DBG] hit output OFF (quiet)
[10:39:21.664] [DBG] hit output ON
[10:39:38.794] [SCOPE] Active: input=0 floor=15
[10:39:44.462] [HIT] t=1583437 i=0 note=38 vel=35 raw=35 truepeak=909 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=698.0 dchead=12.2 spikerej=98 rcstate=2 lcp=909 refrise=1
[10:39:44.467] [SysEx TX] F0 00 7D 00 05 03 00 00 23 23 F7
[10:39:44.473] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.277] T,H,R
[10:39:45.388] 42,676,30
[10:39:45.393] 43,680,0
[10:39:45.393] 44,669,0
[10:39:45.395] 45,659,0
[10:39:45.398] 46,621,44
[10:39:45.401] 47,610,41
[10:39:45.404] 48,605,29
[10:39:45.410] 49,604,26
[10:39:45.410] 50,628,10
[10:39:45.412] 51,651,33
[10:39:45.415] 52,666,16
[10:39:45.429] 53,608,18
[10:39:45.429] 54,516,8
[10:39:45.429] 55,438,21
[10:39:45.429] 56,334,30
[10:39:45.436] 57,204,19
[10:39:45.439] 58,31,15
[10:39:45.441] 59,0,1
[10:39:45.441] 60,0,1
[10:39:45.450] 61,0,4
[10:39:45.450] 62,0,1
[10:39:45.450] 63,41,20
[10:39:45.451] 64,128,14
[10:39:45.456] 65,249,22
[10:39:45.465] 66,340,23
[10:39:45.465] 67,367,2
[10:39:45.465] 68,366,12
[10:39:45.466] 69,374,0
[10:39:45.479] 70,380,12
[10:39:45.479] 71,432,24
[10:39:45.484] 72,470,30
[10:39:45.487] 73,480,34
[10:39:45.490] 74,493,19
[10:39:45.495] 75,518,19
[10:39:45.496] 76,532,5
[10:39:45.498] 77,542,21
[10:39:45.500] 78,574,19
[10:39:45.504] 79,598,18
[10:39:45.507] 80,616,21
[10:39:45.509] 81,586,7
[10:39:45.513] 82,541,26
[10:39:45.515] 83,424,6
[10:39:45.518] 84,306,12
[10:39:45.527] 85,226,0
[10:39:45.527] 86,153,0
[10:39:45.527] 87,83,0
[10:39:45.529] 88,83,21
[10:39:45.532] 89,143,23
[10:39:45.534] 90,180,7
[10:39:45.537] 91,228,2
[10:39:45.541] 92,205,0
[10:39:45.544] 93,83,0
[10:39:45.549] 94,0,9
[10:39:45.552] 95,0,6
[10:39:45.553] 96,0,0
[10:39:45.554] 97,0,0
[10:39:45.557] 98,26,4
[10:39:45.565] 99,173,23
[10:39:45.566] 100,301,29
[10:39:45.567] 101,399,14
[10:39:45.567] 102,476,1
[10:39:45.578] 103,501,0
[10:39:45.582] 104,531,0
[10:39:45.585] 105,544,21
[10:39:45.587] 106,558,38
[10:39:45.590] 107,578,38
[10:39:45.594] 108,575,23
[10:39:45.602] 109,541,0
[10:39:45.602] 110,493,0
[10:39:45.602] 111,439,0
[10:39:45.604] 112,392,2
[10:39:45.607] 113,365,2
[10:39:45.609] 114,342,10
[10:39:45.613] 115,313,8
[10:39:45.616] 116,279,12
[10:39:45.618] 117,235,5
[10:39:45.624] 118,148,8
[10:39:45.628] 119,34,0
[10:39:45.628] 120,0,0
[10:39:45.628] 121,0,0
[10:39:45.631] 122,0,0
[10:39:45.636] 123,0,5
[10:39:45.639] 124,0,8
[10:39:45.640] 125,0,0
[10:39:45.643] 126,0,0
[10:39:45.646] 127,60,0
[10:39:45.650] 128,136,0
[10:39:45.655] 129,221,0
[10:39:45.655] 130,306,0
[10:39:45.656] 131,385,11
[10:39:45.659] 132,413,6
[10:39:45.668] 133,413,10
[10:39:45.668] 134,377,0
[10:39:45.669] 135,333,2
[10:39:45.669] 136,311,0
[10:39:45.679] 137,302,0
[10:39:45.680] 138,329,4
[10:39:45.682] 139,348,0
[10:39:45.684] 140,350,5
[10:39:45.688] 141,365,7
[10:39:45.690] 142,363,6
[10:39:45.693] 143,338,0
[10:39:45.696] 144,318,0
[10:39:45.702] 145,301,0
[10:39:45.703] 146,282,0
[10:39:45.704] 147,208,4
[10:39:45.706] 148,157,0
[10:39:45.709] 149,118,7
[10:39:45.713] 150,5,0
[10:39:45.716] 151,0,0
[10:39:45.718] 152,0,0
[10:39:45.721] 153,0,0
[10:39:45.729] 154,0,0
[10:39:45.729] 155,0,0
[10:39:45.729] 156,23,1
[10:39:45.731] 157,105,1
[10:39:45.735] 158,166,0
[10:39:45.739] 159,237,0
[10:39:45.740] 160,249,0
[10:39:45.744] 161,233,0
[10:39:45.745] 162,230,0
[10:39:45.749] 163,274,0
[10:39:45.752] 164,296,0
[10:39:45.757] 165,341,3
[10:39:45.761] 166,382,3
[10:39:45.761] 167,421,2
[10:39:45.762] 168,445,0
[10:39:45.771] 169,469,0
[10:39:45.771] 170,471,0
