
=== Session started 2026-07-11T10:43:21.337518 (192.168.1.168:23) ===
[10:43:21.341] [dev] eDrum telnet console
[10:43:27.956] [HIT] t=1806939 i=0 note=38 vel=12 raw=12 truepeak=321 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=152.0 dchead=6.4 spikerej=108 rcstate=2 lcp=321 refrise=0
[10:43:27.966] [SysEx TX] F0 00 7D 00 05 03 00 00 0C 0C F7
[10:43:27.969] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=358 rim_peak=23 decision=HEAD samples=200
[10:43:27.981] T,H,R
[10:43:29.138] 151,0,0
[10:43:29.138] 152,0,1
[10:43:29.138] 153,2,2
[10:43:29.140] 154,2,5
[10:43:29.144] 155,9,0
[10:43:29.146] 156,16,0
[10:43:29.149] 157,33,1
[10:43:29.152] 158,34,1
[10:43:29.155] 159,23,0
[10:43:29.158] 160,12,2
[10:43:29.160] 161,4,0
[10:43:29.168] 162,4,1
[10:43:29.169] 163,0,2
[10:43:29.169] 164,0,0
[10:43:29.170] 165,0,3
[10:43:29.176] 166,5,1
[10:43:29.176] 167,6,4
[10:43:29.181] 168,11,0
[10:43:29.183] 169,6,0
[10:43:29.186] 170,11,0
[10:43:29.192] 171,18,0
[10:43:29.192] 172,12,2
[10:43:29.196] 173,7,1
[10:43:29.197] 174,2,4
[10:43:29.199] 175,3,1
[10:43:29.206] 176,2,4
[10:43:29.207] 177,0,1
[10:43:29.207] 178,0,0
[10:43:29.208] 179,0,3
[10:43:29.223] 180,1,0
[10:43:29.223] 181,4,1
[10:43:29.223] 182,14,1
[10:43:29.223] 183,12,2
[10:43:29.242] 184,21,2
[10:43:29.246] 185,22,8
[10:43:29.246] 186,20,0
[10:43:29.246] 187,5,1
[10:43:29.250] 188,8,2
[10:43:29.256] 189,2,2
[10:43:29.256] 190,4,6
[10:43:29.256] 191,0,3
[10:43:29.258] 192,0,2
[10:43:29.263] 193,0,2
[10:43:29.272] 194,0,2
[10:43:29.273] 195,4,5
[10:43:29.273] 196,16,5
[10:43:29.273] 197,10,3
[10:43:29.279] 198,18,5
[10:43:29.283] 199,20,7
[10:43:29.284] [RCEXIT] t=1808267 i=0 exit=0 lcp=42 dur=0ms margin=30
[10:43:29.291] [HIT] t=1808274 i=0 note=38 vel=1 raw=1 truepeak=22 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-1.0 dchead=7.7 spikerej=108 rcstate=2 lcp=22 refrise=0
[10:43:29.299] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[10:43:29.309] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=32 rim_peak=13 decision=HEAD samples=200
[10:43:29.310] T,H,R
[10:43:29.310] 0,18,9
[10:43:29.310] 1,15,4
[10:43:29.323] 2,26,6
[10:43:29.325] 3,21,6
[10:43:29.330] 4,28,6
[10:43:29.336] 5,26,7
[10:43:29.336] 6,30,9
[10:43:29.336] 7,30,8
[10:43:29.341] 8,26,4
[10:43:29.343] 9,24,9
[10:43:29.347] 10,28,4
[10:43:29.349] 11,32,4
[10:43:29.351] 12,22,2
[10:43:29.354] 13,15,4
[10:43:29.357] 14,20,5
[10:43:29.361] 15,18,7
[10:43:29.362] 16,22,13
[10:43:29.366] 17,23,2
[10:43:29.375] 18,26,5
[10:43:29.375] 19,28,7
[10:43:29.375] 20,27,6
[10:43:29.380] 21,18,6
[10:43:29.382] 22,16,6
[10:43:29.385] 23,2,4
[10:43:29.387] 24,0,2
[10:43:29.390] 25,0,3
[10:43:29.393] 26,4,3
[10:43:29.402] 27,5,4
[10:43:29.403] 28,11,2
[10:43:29.403] 29,22,9
[10:43:29.419] 30,32,2
[10:43:29.420] 31,15,2
[10:43:29.420] 32,20,5
[10:43:29.420] 33,18,2
[10:43:29.432] 34,18,5
[10:43:29.435] 35,20,2
[10:43:29.438] 36,15,4
[10:43:29.450] 37,18,7
[10:43:29.451] 38,22,8
[10:43:29.451] 39,15,2
[10:43:29.453] 40,8,5
[10:43:29.456] 41,10,5
[10:43:29.458] 42,15,2
[10:43:29.464] 43,15,4
[10:43:29.465] 44,16,6
[10:43:29.467] 45,23,8
[10:43:29.475] 46,31,4
[10:43:29.476] 47,11,4
[10:43:29.476] 48,4,3
[10:43:29.480] 49,4,9
[10:43:29.483] 50,2,4
[10:43:29.487] 51,7,3
[10:43:29.488] 52,10,4
[10:43:29.491] 53,22,2
[10:43:29.494] 54,22,2
[10:43:29.497] 55,24,4
[10:43:29.499] 56,11,5
[10:43:29.504] 57,17,0
[10:43:29.505] 58,7,2
[10:43:29.514] 59,12,5
[10:43:29.515] 60,10,3
[10:43:29.515] 61,8,3
[10:43:29.516] 62,10,3
[10:43:29.536] 63,11,8
[10:43:29.538] 64,14,1
[10:43:29.540] 65,9,3
[10:43:29.543] 66,10,4
[10:43:29.548] 67,16,3
[10:43:29.549] 68,10,10
[10:43:29.552] 69,6,4
[10:43:29.554] 70,4,3
[10:43:29.557] 71,8,3
[10:43:29.560] 72,14,2
[10:43:29.562] 73,9,1
[10:43:29.565] 74,26,7
[10:43:29.567] 75,20,2
[10:43:29.569] 76,18,8
[10:43:29.579] 77,18,5
[10:43:29.579] 78,16,2
[10:43:29.580] 79,12,7
[10:43:29.584] 80,17,2
[10:43:29.586] 81,10,5
[10:43:29.590] 82,8,5
[10:43:29.593] 83,3,4
[10:43:29.594] 84,3,4
[10:43:29.597] 85,6,6
[10:43:29.600] 86,9,8
[10:43:29.606] 87,10,10
[10:43:29.607] 88,20,5
[10:43:29.607] 89,25,2
