
=== Session started 2026-07-11T10:48:42.005396 (192.168.1.168:23) ===
[10:48:42.008] [dev] eDrum telnet console
[10:48:44.087] [Config]
[10:48:44.087]   [0] en=1 type=2 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=3250 scan=3 mask=57 ratio=40 chokethresh=50 choke=1 curve=0 retrig=30 seeds=-1 builds=-1
[10:48:44.088]   [1] en=0 type=1 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[10:48:44.112]   [2] en=0 type=1 note=42 ch=10 z2note=46 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[10:48:44.125]   [3] en=1 type=2 note=36 ch=10 z2note=53 z2ch=10 thresh=149 sens=152 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=0 retrig=0 seeds=-1 builds=-1
[10:48:44.125]   [4] en=1 type=1 note=44 ch=10 z2note=44 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[10:50:06.727] [HIT] t=2205716 i=0 note=38 vel=127 raw=127 truepeak=4087 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=780.0 dchead=44.9 spikerej=121 rcstate=2 lcp=3500 refrise=0
[10:50:06.741] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[10:50:06.745] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=798 decision=HEAD samples=200
[10:50:06.747] T,H,R
[10:50:07.703] 100,2824,497
[10:50:07.706] 101,3053,456
[10:50:07.709] 102,3013,383
[10:50:07.711] 103,2795,353
[10:50:07.714] 104,2476,390
[10:50:07.718] 105,2169,512
[10:50:07.720] 106,1946,528
[10:50:07.722] 107,1840,523
[10:50:07.725] 108,1852,423
[10:50:07.728] 109,1951,406
[10:50:07.731] 110,2041,437
[10:50:07.737] 111,2084,397
[10:50:07.738] 112,2054,435
[10:50:07.739] 113,2010,348
[10:50:07.746] 114,1963,342
[10:50:07.746] 115,1926,336
[10:50:07.747] 116,1895,310
[10:50:07.758] 117,1898,281
[10:50:07.758] 118,1928,189
[10:50:07.758] 119,1357,254
[10:50:07.759] 120,361,244
[10:50:07.764] 121,0,262
[10:50:07.767] 122,0,150
[10:50:07.773] 123,0,122
[10:50:07.774] 124,285,251
[10:50:07.784] 125,965,234
[10:50:07.784] 126,1746,327
[10:50:07.784] 127,2394,289
[10:50:07.785] 128,2765,226
[10:50:07.789] 129,2795,196
[10:50:07.792] 130,2595,142
[10:50:07.796] 131,2303,265
[10:50:07.798] 132,2030,303
[10:50:07.801] 133,1848,393
[10:50:07.806] 134,1748,413
[10:50:07.808] 135,1709,334
[10:50:07.813] 136,1767,316
[10:50:07.813] 137,1831,278
[10:50:07.815] 138,1851,340
[10:50:07.818] 139,1825,352
[10:50:07.823] 140,1760,364
[10:50:07.824] 141,1689,390
[10:50:07.826] 142,1611,369
[10:50:07.830] 143,1574,377
[10:50:07.832] 144,1546,333
[10:50:07.835] 145,1562,289
[10:50:07.848] 146,1595,228
[10:50:07.848] 147,1644,200
[10:50:07.848] 148,1676,244
[10:50:07.848] 149,1576,244
[10:50:07.860] 150,918,249
[10:50:07.861] 151,371,191
[10:50:07.861] 152,233,172
[10:50:07.861] 153,154,143
[10:50:07.867] 154,206,160
[10:50:07.868] 155,398,209
[10:50:07.875] 156,606,199
[10:50:07.875] 157,786,217
[10:50:07.877] 158,929,169
[10:50:07.882] 159,1005,136
[10:50:07.883] 160,1066,140
[10:50:07.884] 161,1238,160
[10:50:07.887] 162,1509,229
[10:50:07.890] 163,1673,224
[10:50:07.893] 164,1745,230
[10:50:07.896] 165,1703,184
[10:50:07.898] 166,1545,190
[10:50:07.902] 167,1382,232
[10:50:07.906] 168,1245,271
[10:50:07.908] 169,1169,325
[10:50:07.911] 170,1136,274
[10:50:07.914] 171,1162,254
[10:50:07.918] 172,1195,236
[10:50:07.918] 173,1238,223
[10:50:07.922] 174,1244,246
[10:50:07.924] 175,1231,185
[10:50:07.927] 176,1221,190
[10:50:07.930] 177,1193,188
[10:50:07.933] 178,1150,168
[10:50:07.936] 179,1051,190
[10:50:07.942] 180,882,201
[10:50:07.943] 181,845,179
[10:50:07.943] 182,817,121
[10:50:07.951] 183,779,118
[10:50:07.951] 184,764,147
[10:50:07.951] 185,510,180
[10:50:07.954] 186,169,174
[10:50:07.964] 187,0,140
[10:50:07.964] 188,0,94
[10:50:07.964] 189,0,74
[10:50:07.965] 190,102,122
[10:50:07.971] 191,582,171
[10:50:07.974] 192,1119,184
[10:50:07.977] 193,1504,185
[10:50:07.978] 194,1708,171
[10:50:07.983] 195,1678,141
[10:50:07.983] 196,1459,167
[10:50:07.986] 197,1200,179
[10:50:07.989] 198,1011,224
[10:50:07.992] 199,915,232
[10:50:07.995] [RCEXIT] t=2206985 i=0 exit=2 lcp=330 dur=0ms margin=30
[10:50:08.002] [HIT] t=2206992 i=0 note=38 vel=19 raw=19 truepeak=490 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-115.0 dchead=114.6 spikerej=190 rcstate=2 lcp=490 refrise=1
[10:50:08.011] [SysEx TX] F0 00 7D 00 05 03 00 00 13 13 F7
[10:50:08.018] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=764 rim_peak=122 decision=HEAD samples=200
[10:50:08.018] T,H,R
[10:50:08.020] 0,285,107
[10:50:08.024] 1,121,90
[10:50:08.025] 2,0,77
[10:50:08.029] 3,0,73
[10:50:08.031] 4,12,98
[10:50:08.034] 5,153,102
[10:50:08.039] 6,310,105
[10:50:08.040] 7,495,107
[10:50:08.046] 8,655,86
[10:50:08.053] 9,757,89
[10:50:08.054] 10,764,99
[10:50:08.054] 11,742,93
[10:50:08.056] 12,681,111
[10:50:08.071] 13,607,97
[10:50:08.075] 14,525,94
[10:50:08.076] 15,461,105
[10:50:08.079] 16,432,115
[10:50:08.082] 17,433,99
[10:50:08.085] 18,438,110
[10:50:08.088] 19,471,106
[10:50:08.089] 20,462,92
[10:50:08.093] 21,470,111
[10:50:08.096] 22,458,94
[10:50:08.099] 23,456,89
[10:50:08.101] 24,441,92
[10:50:08.104] 25,441,78
[10:50:08.108] 26,443,79
[10:50:08.111] 27,446,86
[10:50:08.112] 28,341,88
[10:50:08.121] 29,86,78
[10:50:08.121] 30,0,79
[10:50:08.121] 31,0,81
[10:50:08.125] 32,0,73
[10:50:08.127] 33,0,107
[10:50:08.131] 34,0,115
[10:50:08.132] 35,93,120
[10:50:08.135] 36,213,110
[10:50:08.138] 37,277,77
[10:50:08.141] 38,390,93
[10:50:08.168] 39,492,85
[10:50:08.168] 40,542,108
[10:50:08.168] 41,597,122
[10:50:08.168] 42,602,112
[10:50:08.183] 43,538,120
[10:50:08.183] 44,441,99
[10:50:08.183] 45,360,108
[10:50:08.183] 46,310,96
[10:50:08.187] 47,303,105
[10:50:08.189] 48,315,121
[10:50:08.193] 49,350,121
[10:50:08.195] 50,364,111
[10:50:08.198] 51,377,95
[10:50:08.201] 52,370,79
[10:50:08.204] 53,352,81
[10:50:08.206] 54,354,77
[10:50:08.209] 55,348,79
[10:50:08.213] 56,361,72
[10:50:08.219] 57,358,64
[10:50:08.223] 58,361,57
[10:50:08.223] 59,356,73
[10:50:08.223] 60,346,86
[10:50:08.227] 61,248,70
[10:50:08.230] 62,23,61
[10:50:08.232] 63,0,62
[10:50:08.235] 64,0,67
[10:50:08.238] 65,0,53
[10:50:08.241] 66,0,79
[10:50:08.249] 67,12,89
[10:50:08.255] 68,260,88
[10:50:08.255] 69,467,86
[10:50:08.258] 70,617,84
[10:50:08.259] 71,726,83
[10:50:08.270] 72,734,69
[10:50:08.270] 73,685,72
[10:50:08.270] 74,625,89
[10:50:08.272] 75,516,94
[10:50:08.276] 76,418,120
[10:50:08.278] 77,377,100
[10:50:08.281] 78,352,96
[10:50:08.283] 79,365,84
[10:50:08.291] 80,401,74
[10:50:08.294] 81,432,89
[10:50:08.294] 82,444,71
[10:50:08.297] 83,442,78
[10:50:08.298] 84,436,61
[10:50:08.300] 85,408,57
[10:50:08.302] 86,406,62
[10:50:08.307] 87,400,62
[10:50:08.308] 88,397,54
[10:50:08.311] 89,410,40
[10:50:08.314] 90,330,40
[10:50:08.317] 91,178,34
[10:50:08.319] 92,64,45
[10:50:08.326] 93,0,50
[10:50:08.326] 94,0,31
[10:50:08.327] 95,0,59
[10:50:08.330] 96,0,63
[10:50:08.333] 97,112,58
[10:50:08.336] 98,288,59
[10:50:08.339] 99,456,56
[10:50:08.341] 100,563,55
[10:50:08.344] 101,605,55
[10:50:08.347] 102,597,55
[10:50:08.352] 103,532,62
[10:50:08.352] 104,454,63
[10:50:08.359] 105,372,79
[10:50:08.361] 106,295,70
[10:50:08.362] 107,272,68
[10:50:08.362] 108,281,71
[10:50:08.371] 109,289,63
[10:50:08.376] 110,309,62
[10:50:08.379] 111,320,57
[10:50:08.379] 112,337,48
[10:50:08.381] 113,334,52
[10:50:08.385] 114,327,53
[10:50:08.388] 115,310,41
[10:50:08.394] 116,299,35
[10:50:08.394] 117,306,33
[10:50:08.395] 118,305,31
[10:50:08.398] 119,327,21
[10:50:08.402] 120,320,29
[10:50:08.403] 121,232,31
[10:50:08.406] 122,26,21
[10:50:08.409] 123,0,25
[10:50:08.412] 124,0,9
[10:50:08.415] 125,0,10
[10:50:08.418] 126,0,37
[10:50:08.420] 127,14,36
[10:50:08.427] 128,103,52
[10:50:08.430] 129,207,38
[10:50:08.430] 130,328,32
[10:50:08.431] 131,406,20
[10:50:08.435] 132,456,23
[10:50:08.439] 133,501,46
[10:50:08.441] 134,495,50
[10:50:08.446] 135,463,56
[10:50:08.446] 136,388,40
[10:50:08.449] 137,301,40
[10:50:08.453] 138,250,52
[10:50:08.454] 139,232,41
[10:50:08.461] 140,237,56
[10:50:08.462] 141,271,52
[10:50:08.463] 142,296,48
[10:50:08.465] 143,304,40
[10:50:08.479] 144,303,29
[10:50:08.480] 145,303,23
[10:50:08.480] 146,297,20
[10:50:08.481] 147,294,26
[10:50:08.485] 148,297,17
[10:50:08.488] 149,288,5
[10:50:08.490] 150,294,11
[10:50:08.495] 151,284,7
[10:50:08.495] 152,242,14
[10:50:08.498] 153,199,3
[10:50:08.501] 154,139,1
[10:50:08.504] 155,52,11
[10:50:08.508] 156,0,2
[10:50:08.509] 157,0,21
[10:50:08.513] 158,0,6
[10:50:08.514] 159,0,10
[10:50:08.517] 160,62,14
[10:50:08.519] 161,201,17
[10:50:08.524] 162,339,25
