
=== Session started 2026-07-06T19:48:00.476344 (192.168.1.168:23) ===
[19:48:00.482] [dev] eDrum telnet console
[19:48:08.636] [HIT] t=1921434 i=0 note=38 vel=127 raw=127 truepeak=4089 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=621.0 dchead=25.3 spikerej=2751
[19:48:08.641] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:08.644] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1392 decision=HEAD samples=200
[19:48:08.646] T,H,R
[19:48:09.955] 34,4095,137
[19:48:09.959] 35,4095,118
[19:48:09.971] 36,3887,112
[19:48:09.971] 37,3513,90
[19:48:09.973] 38,3132,77
[19:48:09.976] 39,2777,71
[19:48:09.980] 40,2430,75
[19:48:09.982] 41,2038,79
[19:48:09.985] 42,1686,96
[19:48:09.986] 43,1112,93
[19:48:09.989] 44,877,106
[19:48:09.993] 45,628,126
[19:48:09.995] 46,461,145
[19:48:09.998] 47,317,110
[19:48:10.002] 48,192,120
[19:48:10.006] 49,117,135
[19:48:10.007] 50,105,150
[19:48:10.010] 51,52,171
[19:48:10.013] 52,0,173
[19:48:10.015] 53,0,181
[19:48:10.018] 54,0,184
[19:48:10.024] 55,0,182
[19:48:10.026] 56,0,175
[19:48:10.026] 57,135,159
[19:48:10.028] 58,372,141
[19:48:10.034] 59,601,126
[19:48:10.035] 60,831,105
[19:48:10.035] 61,986,99
[19:48:10.038] 62,1066,94
[19:48:10.042] 63,1052,109
[19:48:10.045] 64,982,111
[19:48:10.048] 65,854,123
[19:48:10.052] 66,740,131
[19:48:10.053] 67,665,147
[19:48:10.056] 68,690,134
[19:48:10.059] 69,788,141
[19:48:10.068] 70,968,123
[19:48:10.068] 71,1193,89
[19:48:10.069] 72,1388,77
[19:48:10.073] 73,1581,83
[19:48:10.076] 74,1748,57
[19:48:10.078] 75,1885,53
[19:48:10.082] 76,2021,39
[19:48:10.083] 77,2151,14
[19:48:10.087] 78,2249,0
[19:48:10.089] 79,2347,0
[19:48:10.093] 80,2374,0
[19:48:10.095] 81,2401,0
[19:48:10.097] 82,2335,3
[19:48:10.101] 83,2171,5
[19:48:10.107] 84,1928,2
[19:48:10.109] 85,1599,23
[19:48:10.109] 86,1231,25
[19:48:10.111] 87,889,45
[19:48:10.114] 88,186,63
[19:48:10.120] 89,0,71
[19:48:10.121] 90,0,93
[19:48:10.124] 91,0,122
[19:48:10.125] 92,0,117
[19:48:10.127] 93,0,73
[19:48:10.138] 94,0,86
[19:48:10.138] 95,0,85
[19:48:10.138] 96,0,99
[19:48:10.141] 97,62,95
[19:48:10.144] 98,238,102
[19:48:10.146] 99,476,114
[19:48:10.150] 100,776,121
[19:48:10.152] 101,1065,116
[19:48:10.155] 102,1453,106
[19:48:10.157] 103,1880,107
