
=== Session started 2026-07-06T19:24:33.391265 (192.168.1.168:23) ===
[19:24:33.392] [dev] eDrum telnet console
[19:24:37.231] [eDrum] Build 0 — p=ping  i=identify  s=config  n=test note  r=reboot
[19:24:37.234]   a=toggle ADC dump  d=toggle hit debug print  m=toggle diag mode (detection+MIDI off)
[19:24:37.236]   o <input> <floor> = scope input (e.g. o 0 10)   o off = disable scope
[19:24:37.239]   w <input> <param> <value> = set param (e.g. w 0 scan 3)
[19:24:37.242]   params: thresh sens scan mask retrig type ratio chokethresh choke enable
[19:24:55.109] [w] input=0 sens=3250 OK
[19:24:55.135] [SysEx TX] F0 00 7D 00 05 01 01 06 00 F7
[19:24:58.777] [HIT] t=531553 i=0 note=38 vel=1 raw=1 truepeak=187 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=45.0 dchead=3.0 spikerej=389
[19:24:58.789] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[19:24:58.791] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=189 rim_peak=14 decision=HEAD samples=200
[19:24:58.795] T,H,R
[19:25:00.252] 21,0,2
[19:25:00.252] 22,2,2
[19:25:00.255] 23,1,5
[19:25:00.262] 24,4,5
[19:25:00.263] 25,0,2
[19:25:00.264] 26,0,0
[19:25:00.265] 27,0,3
[19:25:00.269] 28,2,6
[19:25:00.272] 29,2,0
[19:25:00.283] 30,2,5
[19:25:00.284] 31,0,0
[19:25:00.284] 32,1,2
[19:25:00.287] 33,0,0
[19:25:00.289] 34,0,2
[19:25:00.304] 35,1,1
[19:25:00.304] 36,1,1
[19:25:00.304] 37,2,2
[19:25:00.305] 38,2,2
[19:25:00.307] 39,1,3
[19:25:00.311] 40,4,5
[19:25:00.314] 41,0,2
[19:25:00.316] 42,3,6
[19:25:00.319] 43,0,3
[19:25:00.327] 44,2,5
[19:25:00.328] 45,0,2
[19:25:00.329] 46,4,5
[19:25:00.330] 47,0,2
[19:25:00.333] 48,0,2
[19:25:00.336] 49,4,4
[19:25:00.340] 50,2,3
[19:25:00.341] 51,0,1
[19:25:00.344] 52,0,1
[19:25:00.347] 53,0,0
[19:25:00.353] 54,0,2
[19:25:00.353] 55,4,4
[19:25:00.354] 56,1,3
[19:25:00.357] 57,2,2
[19:25:00.364] 58,1,3
[19:25:00.365] 59,2,2
[19:25:00.366] 60,0,2
[19:25:00.368] 61,0,2
[19:25:00.371] 62,1,4
[19:25:00.374] 63,0,0
[19:25:00.377] 64,1,5
[19:25:00.379] 65,0,0
[19:25:00.382] 66,4,4
[19:25:00.385] 67,0,2
[19:25:00.389] 68,1,5
[19:25:00.397] 69,0,0
[19:25:00.398] 70,1,5
[19:25:00.403] 71,0,0
[19:25:00.403] 72,0,0
[19:25:00.405] 73,5,4
[19:25:00.408] 74,2,0
[19:25:00.411] 75,0,4
[19:25:00.413] 76,0,0
[19:25:00.416] 77,0,4
[19:25:00.424] 78,0,0
[19:25:00.424] 79,0,7
[19:25:00.427] 80,0,19
[19:25:00.428] 81,0,10
[19:25:00.430] 82,0,5
[19:25:00.435] 83,0,4
[19:25:00.438] 84,0,19
[19:25:00.439] 85,0,10
[19:25:00.442] 86,0,7
[19:25:00.444] 87,0,8
[19:25:00.447] 88,0,10
[19:25:00.449] 89,0,5
[19:25:00.456] 90,0,4
[19:25:00.458] 91,0,18
[19:25:00.459] 92,0,10
[19:25:00.462] 93,2,3
[19:25:00.467] 94,25,6
[19:25:00.468] 95,40,9
[19:25:00.469] 96,70,5
[19:25:00.473] 97,103,2
[19:25:00.476] 98,132,5
[19:25:00.479] 99,153,0
[19:25:00.480] 100,186,1
[19:25:00.483] 101,205,0
[19:25:00.485] 102,242,1
[19:25:00.488] 103,265,0
[19:25:00.491] 104,266,0
[19:25:00.494] 105,277,0
[19:25:00.497] 106,297,0
[19:25:00.506] 107,340,0
[19:25:00.506] 108,361,0
[19:25:00.508] 109,358,0
[19:25:00.510] 110,329,0
[19:25:00.513] 111,306,0
[19:25:00.518] 112,278,1
[19:25:00.521] 113,237,0
[19:25:00.522] 114,198,0
[19:25:00.526] 115,163,0
[19:25:00.530] 116,156,0
[19:25:00.530] 117,163,0
[19:25:00.533] 118,182,4
[19:25:00.537] 119,199,2
[19:25:00.541] 120,217,0
[19:25:00.542] 121,232,0
[19:25:00.544] 122,233,0
[19:25:00.552] 123,235,6
[19:25:00.553] 124,233,5
[19:25:00.553] 125,232,2
[19:25:00.557] 126,236,7
[19:25:00.557] 127,239,2
[19:25:00.562] 128,249,2
[19:25:00.564] 129,269,2
[19:25:00.567] 130,278,3
[19:25:00.572] 131,281,2
[19:25:00.572] 132,290,2
[19:25:00.575] 133,276,2
[19:25:00.578] 134,243,0
[19:25:00.580] 135,217,2
[19:25:00.583] 136,160,6
[19:25:00.585] 137,118,7
[19:25:00.589] 138,107,2
[19:25:00.592] 139,134,7
[19:25:00.595] 140,161,2
[19:25:00.597] 141,197,6
[19:25:00.600] 142,227,0
[19:25:00.611] 143,244,2
[19:25:00.612] 144,238,2
[19:25:00.614] 145,218,2
[19:25:00.616] 146,173,0
[19:25:00.621] 147,122,1
[19:25:00.623] 148,77,2
[19:25:00.624] 149,34,1
[19:25:00.629] 150,6,1
[19:25:00.633] 151,0,1
[19:25:00.633] 152,0,0
[19:25:00.634] 153,0,1
[19:25:00.637] 154,0,0
[19:25:00.639] 155,10,0
[19:25:00.643] 156,33,0
[19:25:00.647] 157,39,0
[19:25:00.648] 158,33,0
[19:25:00.650] 159,33,2
[19:25:00.653] 160,30,2
[19:25:00.656] 161,31,4
[19:25:00.662] 162,41,0
[19:25:00.663] 163,68,0
[19:25:00.664] 164,102,0
[19:25:00.668] 165,142,0
[19:25:00.672] 166,170,0
[19:25:00.673] 167,182,0
[19:25:00.674] 168,173,0
[19:25:00.679] 169,157,2
[19:25:00.681] 170,125,0
[19:25:00.684] 171,85,0
[19:25:00.686] 172,72,2
[19:25:00.688] 173,72,0
[19:25:00.692] 174,93,0
[19:25:00.695] 175,109,5
[19:25:00.698] 176,143,0
[19:25:00.700] 177,162,0
[19:25:00.703] 178,172,4
[19:25:00.712] 179,166,0
[19:25:00.713] 180,157,0
[19:25:00.713] 181,118,0
[19:25:00.716] 182,87,2
[19:25:00.719] 183,49,10
[19:25:00.727] 184,10,14
[19:25:00.728] 185,0,8
[19:25:00.728] 186,0,8
