
=== Session started 2026-07-06T19:28:48.091126 (192.168.1.168:23) ===
[19:28:48.092] [dev] eDrum telnet console
[19:28:59.640] [SCOPE] Active: input=0 floor=15
[19:29:05.021] [RIM] t=777803 i=0 note=40 vel=6 raw=6 truepeak=316 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=2890.0 dchead=19.9 spikerej=1582
[19:29:05.037] [SysEx TX] F0 00 7D 00 05 03 00 01 06 06 F7
[19:29:05.038] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1505 decision=RIM samples=200
[19:29:05.039] T,H,R
[19:29:06.372] 35,2957,6
[19:29:06.374] 36,3079,2
[19:29:06.374] 37,3112,38
[19:29:06.384] 38,3161,46
[19:29:06.389] 39,3087,43
[19:29:06.392] 40,2921,67
[19:29:06.393] 41,2731,78
[19:29:06.393] 42,2503,89
[19:29:06.397] 43,2221,109
[19:29:06.402] 44,1896,130
[19:29:06.403] 45,1273,151
[19:29:06.405] 46,797,143
[19:29:06.407] 47,266,162
[19:29:06.410] 48,0,174
[19:29:06.413] 49,0,143
[19:29:06.416] 50,0,142
[19:29:06.420] 51,0,164
[19:29:06.421] 52,0,177
[19:29:06.424] 53,0,166
[19:29:06.427] 54,0,167
[19:29:06.431] 55,174,181
[19:29:06.432] 56,653,185
[19:29:06.436] 57,1289,164
[19:29:06.437] 58,2090,167
[19:29:06.441] 59,2918,174
[19:29:06.443] 60,4006,180
[19:29:06.446] 61,4095,172
[19:29:06.448] 62,4095,174
[19:29:06.451] 63,4095,182
[19:29:06.455] 64,4095,186
[19:29:06.457] 65,4095,181
[19:29:06.460] 66,4095,160
[19:29:06.464] 67,4095,148
[19:29:06.472] 68,3977,121
[19:29:06.472] 69,3679,118
[19:29:06.474] 70,3382,115
[19:29:06.487] 71,3154,94
[19:29:06.488] 72,2904,58
[19:29:06.488] 73,2600,53
[19:29:06.504] 74,2228,57
[19:29:06.504] 75,1816,79
[19:29:06.504] 76,1196,110
[19:29:06.505] 77,723,138
[19:29:06.508] 78,280,137
[19:29:06.510] 79,121,171
[19:29:06.518] 80,24,181
[19:29:06.518] 81,0,144
[19:29:06.519] 82,46,161
[19:29:06.522] 83,163,182
[19:29:06.525] 84,203,203
[19:29:06.535] 85,212,223
[19:29:06.536] 86,137,234
[19:29:06.536] 87,22,239
[19:29:06.541] 88,0,223
[19:29:06.543] 89,0,216
[19:29:06.545] 90,0,206
[19:29:06.548] 91,99,195
[19:29:06.550] 92,344,182
[19:29:06.555] 93,617,158
[19:29:06.557] 94,890,154
[19:29:06.559] 95,1082,148
[19:29:06.562] 96,1150,141
[19:29:06.577] 97,1085,158
[19:29:06.577] 98,868,180
[19:29:06.578] 99,582,176
[19:29:06.588] 100,342,201
[19:29:06.596] 101,214,211
[19:29:06.596] 102,252,197
[19:29:06.597] 103,440,181
[19:29:06.599] 104,687,153
[19:29:06.603] 105,1012,138
[19:29:06.606] 106,1338,118
[19:29:06.615] 107,1627,108
[19:29:06.615] 108,1822,102
[19:29:06.615] 109,1942,61
[19:29:06.616] 110,2009,55
[19:29:06.619] 111,2055,43
[19:29:06.622] 112,2133,19
[19:29:06.625] 113,2231,3
[19:29:06.627] 114,2334,18
[19:29:06.630] 115,2386,31
[19:29:06.636] 116,2361,33
[19:29:06.636] 117,2255,34
[19:29:06.637] 118,2039,30
[19:29:06.639] 119,1726,39
[19:29:06.643] 120,1304,62
[19:29:06.646] 121,853,89
[19:29:06.652] 122,69,98
[19:29:06.653] 123,0,94
[19:29:06.654] 124,0,120
[19:29:06.656] 125,0,163
[19:29:06.659] 126,0,154
[19:29:06.662] 127,0,141
[19:29:06.665] 128,0,108
[19:29:06.681] 129,0,112
[19:29:06.682] 130,19,117
[19:29:06.682] 131,226,112
[19:29:06.683] 132,485,127
[19:29:06.687] 133,782,147
[19:29:06.689] 134,1104,148
[19:29:06.693] 135,1445,137
[19:29:06.695] 136,1833,108
[19:29:06.701] 137,2230,114
[19:29:06.702] 138,2640,122
[19:29:06.703] 139,3078,102
[19:29:06.706] 140,3513,82
[19:29:06.709] 141,3870,89
[19:29:06.712] 142,4022,80
[19:29:06.715] 143,4012,86
[19:29:06.717] 144,3806,85
[19:29:06.720] 145,3605,79
[19:29:06.723] 146,3366,74
[19:29:06.737] 147,3132,57
[19:29:06.737] 148,2955,63
[19:29:06.737] 149,2795,39
[19:29:06.737] 150,2659,26
[19:29:06.742] 151,2510,22
[19:29:06.744] 152,2363,16
[19:29:06.746] 153,2216,3
[19:29:06.749] 154,2070,14
[19:29:06.751] 155,1928,2
[19:29:06.754] 156,1789,0
[19:29:06.757] 157,1609,6
[19:29:06.759] 158,1436,7
[19:29:06.763] 159,1342,13
[19:29:06.765] 160,1262,31
[19:29:06.768] 161,1225,36
[19:29:06.785] 162,1192,29
[19:29:06.785] 163,1147,28
[19:29:06.785] 164,1086,36
[19:29:06.789] 165,1020,54
[19:29:06.792] 166,927,62
[19:29:06.796] 167,815,72
[19:29:06.801] 168,694,52
[19:29:06.804] 169,585,30
[19:29:06.804] 170,472,26
[19:29:06.806] 171,362,30
[19:29:06.811] 172,244,26
[19:29:06.812] 173,116,31
[19:29:06.830] 174,0,17
[19:29:06.830] 175,0,33
[19:29:06.831] 176,0,35
[19:29:06.834] 177,0,41
[19:29:06.842] 178,0,37
[19:29:06.842] 179,0,44
[19:29:06.843] 180,147,43
[19:29:06.844] 181,495,31
[19:29:06.847] 182,948,9
[19:29:06.850] 183,1481,0
[19:29:06.853] 184,2032,0
[19:29:06.856] 185,2494,0
[19:29:06.858] 186,2816,0
[19:29:06.861] 187,2985,0
[19:29:06.864] 188,3042,0
[19:29:06.866] 189,2999,0
[19:29:06.870] 190,2886,0
[19:29:06.881] 191,2773,0
[19:29:06.885] 192,2644,0
[19:29:06.885] 193,2515,0
[19:29:06.903] 194,2350,0
[19:29:06.906] 195,2125,0
[19:29:06.909] 196,1854,0
[19:29:06.912] 197,1542,0
[19:29:06.915] 198,1115,0
[19:29:06.917] 199,501,0
[19:29:06.924] [HIT] t=779706 i=0 note=38 vel=17 raw=17 truepeak=571 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-241.0 dchead=242.9 spikerej=1800
[19:29:06.934] [SysEx TX] F0 00 7D 00 05 03 00 00 11 11 F7
[19:29:06.937] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=1076 rim_peak=35 decision=HEAD samples=200
[19:29:06.943] T,H,R
[19:29:06.944] 0,0,11
[19:29:06.945] 1,0,25
[19:29:06.948] 2,0,29
[19:29:06.951] 3,0,33
[19:29:06.954] 4,0,30
[19:29:06.956] 5,0,33
[19:29:06.959] 6,0,35
[19:29:06.962] 7,0,35
[19:29:06.965] 8,33,27
[19:29:06.968] 9,121,23
[19:29:06.971] 10,225,24
[19:29:06.973] 11,329,21
[19:29:06.995] 12,444,20
[19:29:06.995] 13,562,20
[19:29:06.995] 14,678,7
[19:29:07.005] 15,796,11
[19:29:07.005] 16,903,8
[19:29:07.013] 17,985,7
[19:29:07.013] 18,1050,4
[19:29:07.014] 19,1074,3
[19:29:07.015] 20,1076,3
[19:29:07.019] 21,1045,6
[19:29:07.021] 22,980,0
[19:29:07.025] 23,910,0
[19:29:07.027] 24,835,0
[19:29:07.030] 25,774,0
[19:29:07.035] 26,732,0
[19:29:07.036] 27,696,0
[19:29:07.037] 28,670,0
[19:29:07.041] 29,640,0
[19:29:07.047] 30,627,0
[19:29:07.049] 31,602,0
[19:29:07.049] 32,568,0
[19:29:07.051] 33,531,0
[19:29:07.055] 34,488,0
[19:29:07.056] 35,447,0
[19:29:07.063] 36,381,0
[19:29:07.067] 37,320,0
[19:29:07.068] 38,269,2
[19:29:07.068] 39,211,0
[19:29:07.070] 40,161,2
[19:29:07.074] 41,89,8
[19:29:07.076] 42,31,1
[19:29:07.089] 43,0,3
[19:29:07.089] 44,0,10
[19:29:07.089] 45,0,13
[19:29:07.096] 46,0,17
[19:29:07.099] 47,0,8
[19:29:07.108] 48,0,14
[19:29:07.108] 49,0,8
[19:29:07.108] 50,0,15
[19:29:07.109] 51,0,7
[19:29:07.113] 52,2,13
[19:29:07.118] 53,85,4
[19:29:07.119] 54,189,0
[19:29:07.121] 55,301,0
[19:29:07.124] 56,410,2
[19:29:07.127] 57,512,6
[19:29:07.130] 58,618,0
[19:29:07.133] 59,700,1
[19:29:07.139] 60,781,0
[19:29:07.139] 61,842,0
[19:29:07.141] 62,879,0
[19:29:07.143] 63,906,0
[19:29:07.148] 64,921,0
[19:29:07.149] 65,926,0
[19:29:07.151] 66,925,0
[19:29:07.156] 67,904,0
[19:29:07.157] 68,857,0
[19:29:07.159] 69,809,0
[19:29:07.162] 70,730,0
[19:29:07.165] 71,613,0
[19:29:07.168] 72,500,0
[19:29:07.171] 73,377,0
[19:29:07.176] 74,253,0
[19:29:07.177] 75,125,0
[19:29:07.188] 76,4,0
[19:29:07.189] 77,0,0
[19:29:07.190] 78,0,0
[19:29:07.192] 79,0,6
[19:29:07.196] 80,0,5
[19:29:07.199] 81,0,0
[19:29:07.202] 82,0,4
[19:29:07.206] 83,0,0
[19:29:07.212] 84,0,7
[19:29:07.212] 85,0,11
[19:29:07.213] 86,0,5
[19:29:07.215] 87,23,5
[19:29:07.221] 88,69,7
[19:29:07.222] 89,127,2
[19:29:07.224] 90,201,5
[19:29:07.226] 91,264,0
[19:29:07.230] 92,317,2
[19:29:07.232] 93,373,0
[19:29:07.234] 94,401,2
[19:29:07.239] 95,425,0
[19:29:07.241] 96,425,1
[19:29:07.242] 97,422,0
[19:29:07.246] 98,424,0
[19:29:07.252] 99,430,5
[19:29:07.253] 100,442,0
[19:29:07.254] 101,470,0
[19:29:07.255] 102,501,0
[19:29:07.259] 103,554,0
[19:29:07.262] 104,594,0
[19:29:07.264] 105,614,0
[19:29:07.268] 106,629,0
[19:29:07.270] 107,645,0
[19:29:07.273] 108,622,0
[19:29:07.275] 109,608,0
[19:29:07.279] 110,586,0
[19:29:07.287] 111,553,0
[19:29:07.290] 112,505,0
[19:29:07.291] 113,466,0
[19:29:07.293] 114,413,0
